impressionTime,displayLocation,advertiserName,advertiserScreenName,osType,deviceId,deviceType,tweetId,tweetText,trendId,trendName,trendDescription
2019-08-10 13:56:40,TimelineHome,Pete Buttigieg,@PeteButtigieg,Ios,33f6aeff65,iPhone,1158821216326684672,"We lose an average of 100 lives a day to gun violence all around the country. It's long past time to address the policy failures that continue to cause these tragedies.

Add your name to support our new plan to tackle the threat posed by hate and the gun lobby.",,,
2019-08-10 12:17:05,TimelineHome,Pete Buttigieg,@PeteButtigieg,Ios,33f6aeff65,iPhone,1159214193071087618,Please chip in any amount⁠—even $1⁠—to be automatically entered to win a trip to South Bend to talk politics over a pizza dinner with me!,,,
2019-08-10 12:17:05,TimelineHome,Sandy Hook Promise,@sandyhook,Ios,33f6aeff65,iPhone,1159568151396462598,"The shooter who murdered my sweet little Daniel brought 10 30-round magazines with him into Sandy Hook Elementary. In 4 minutes, he shot 154 bullets, killing 20 children and 6 educators. Sign our petition demanding Congress limit the size of gun magazines now. -Mark",,,
2019-08-10 12:17:05,TimelineHome,Art of Racing Movie,@TheArtOfRacing,Ios,33f6aeff65,iPhone,1159573672547368960,"Meet the dog who will show the world what it means to have faith. Get tickets for The Art of Racing in the Rain, in theaters now. #ArtOfRacing",,,
2019-08-10 12:17:05,TimelineHome,Jim Beam,@JimBeam,Ios,33f6aeff65,iPhone,1154810452679057408,"Hey Chicago, days like this are too hot for words...so use emojis instead. Tell us how hot you are using 3 emojis and then swing by your favorite bar to get the only drink with a certified refreshing taste - the #JimBeamHighball. https://t.co/eJUMIG3IGz",,,
2019-08-10 12:17:05,TimelineHome,Best Buy,@BestBuy,Ios,33f6aeff65,iPhone,1158379013049593860,Nia Sioux gets her fitness on with the help of her laptop powered by an Intel Core processor. What’s your fave workout to stream?,,,
2019-08-10 06:52:15,TimelineHome,Pete Buttigieg,@PeteButtigieg,Ios,33f6aeff65,iPhone,1159214116009140225,"We're flying a group of supporters (and their guests) to South Bend for a night of pizza and conversation with me! 

Please chip in whatever you can—even one dollar—to be automatically entered to win.",,,
2019-08-10 06:52:14,TimelineHome,Fire TV 📺,@amazonfiretv,Ios,33f6aeff65,iPhone,1158399055019429888,"It’s 2019, how do you watch TV? #FreeYourTV",,,
2019-08-10 06:52:15,TimelineHome,SmartAsset,@smartasset,Ios,33f6aeff65,iPhone,1156987074228162560,"With over 110 million Americans over age 50, it's no wonder this Princeton grad's startup just raised another $28 million in funding to help people conquer #retirement.",,,
2019-08-10 06:52:15,TimelineHome,Jim Beam,@JimBeam,Ios,33f6aeff65,iPhone,1154810452679057408,"Hey Chicago, days like this are too hot for words...so use emojis instead. Tell us how hot you are using 3 emojis and then swing by your favorite bar to get the only drink with a certified refreshing taste - the #JimBeamHighball. https://t.co/eJUMIG3IGz",,,
2019-08-10 06:52:15,TimelineHome,SmartAsset,@smartasset,Ios,33f6aeff65,iPhone,1156987074228162560,"With over 110 million Americans over age 50, it's no wonder this Princeton grad's startup just raised another $28 million in funding to help people conquer #retirement.",,,
2019-08-10 14:17:02,TimelineHome,SmartAsset,@smartasset,Ios,33f6aeff65,iPhone,1157001582271258625,People who retire comfortably often avoid these financial advisor mistakes...,,,
2019-08-15 17:20:11,SearchTweets,TikTok,@tiktok_us,Ios,33f6aeff65,iPhone,1161313966724911104,"we're taking over twitter to help YOU make someone else’s day! change your profile pic for 24 hours to the TikTok smiley face (found in our bio). Then, tweet at us using #thatmademyday and we'll donate $2 to @dosomething up to $100K!!! https://t.co/ExwzgC3OmG",,,
2019-08-15 17:17:54,TimelineHome,Samsung Mobile US,@SamsungMobileUS,Ios,33f6aeff65,iPhone,1159566795134705664,The next-generation power phone has arrived. See what's got us so excited about the #GalaxyNote10. https://t.co/6ylea2tUH8,,,
